Unique_ID,Taxa,Species,x_g,y_g,Reference,Group,Order,Family,Genus,Notes
1482,Plant,Chamaecyparis obtusa,186732.796,13143.21141,Cannell (1982).   Page 143; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1483,Plant,Chamaecyparis obtusa,196514.0123,13875.59809,Cannell (1982).   Page 143; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1484,Plant,Chamaecyparis obtusa,197236.3636,14109.09091,Cannell (1982).   Page 143; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1485,Plant,Chamaecyparis obtusa,203897.8495,14448.92473,Cannell (1982).   Page 143; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1486,Plant,Chamaecyparis obtusa,213826.6069,15246.63677,Cannell (1982).   Page 143; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1487,Plant,Chamaecyparis obtusa,260769.2308,13000,Cannell (1982).   Page 135; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1488,Plant,Chamaecyparis obtusa,96176.47059,4500,Cannell (1982).   Page 137; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Chamaecyparis,               
1489,Plant,Cryptomeria japonica,241,72,Cannell (1982).   Page 161; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1490,Plant,Cryptomeria japonica,1825.192802,503.856041,Cannell (1982).   Page 161; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1491,Plant,Cryptomeria japonica,2246.478873,420.187793,Cannell (1982).   Page 161; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1492,Plant,Cryptomeria japonica,18260.72715,2669.505405,Cannell (1982).   Page 162; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1493,Plant,Cryptomeria japonica,20625,3089.285714,Cannell (1982).   Page 162; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1494,Plant,Cryptomeria japonica,22181.81818,2938.636364,Cannell (1982).   Page 152; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1495,Plant,Cryptomeria japonica,23932.92683,2917.682927,Cannell (1982).   Page 152; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1496,Plant,Cryptomeria japonica,26431.81818,4272.727273,Cannell (1982).   Page 153; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1497,Plant,Cryptomeria japonica,28475.60976,4542.682927,Cannell (1982).   Page 153; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1498,Plant,Cryptomeria japonica,38916.66667,6641.666667,Cannell (1982).   Page 152; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1499,Plant,Cryptomeria japonica,48666.66667,9833.333333,Cannell (1982).   Page 153; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1500,Plant,Cryptomeria japonica,52985.07463,3115.671642,Cannell (1982).   Page 160; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1501,Plant,Cryptomeria japonica,67611.33603,3554.65587,Cannell (1982).   Page 159; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1502,Plant,Cryptomeria japonica,85785.53616,5970.074813,Cannell (1982).   Page 160; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1503,Plant,Cryptomeria japonica,90116.27907,7046.511628,Cannell (1982).   Page 159; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1504,Plant,Cryptomeria japonica,113170.7317,4453.658537,Cannell (1982).   Page 159; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1505,Plant,Cryptomeria japonica,164122.1374,7190.839695,Cannell (1982).   Page 159; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1506,Plant,Cryptomeria japonica,178723.4043,8914.893617,Cannell (1982).   Page 159; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1507,Plant,Cryptomeria japonica,292025.8621,9579.741379,Cannell (1982).   Page 160; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1508,Plant,Cryptomeria japonica,354651.1628,12732.55814,Cannell (1982).   Page 159; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cryptomeria,               
1509,Plant,Cupressus pygmaea,223.333333,23.2,Cannell (1982).   Page 293; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Cupressaceae,Cupressus,"(68%) [a], Vaccinium ovatum (17%) [a], Pinus contorta subsp. bolanderi (9%) [a]"
1510,Plant,Larix leptolepis,49919.35484,15725.80645,Cannell (1982).   Page 167; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Larix,with understorey shrubs.             
1511,Plant,Larix leptoleptis,172554.1126,12649.35065,Cannell (1982).   Page 167; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Larix,with understorey broadleaved trees.            
1512,Plant,Picea abies,125704.698,6731.543624,Cannell (1982).   Page 73; cited in Niklas & Enquist 2004,Needleleaf,Pinales,Pinaceae,Picea,               
